#name, rflam
1.004e+00_9.923e-01_3.088e-01_6.419e-01_4.155e-02_3.500e+01.h5, 0.537468
2.327e+00_1.127e+00_5.600e-01_5.303e-01_3.658e-02_1.100e+01.h5, 0.408948
1.143e+00_1.281e+00_3.114e-01_9.560e-01_1.339e-02_1.200e+01.h5, 0.639352
1.307e+00_1.346e+00_4.220e-01_8.799e-01_4.362e-02_3.100e+01.h5, 0.606212
8.289e-01_1.050e+00_3.691e-01_6.336e-01_4.779e-02_3.300e+01.h5, 0.611157
1.243e+00_9.643e-01_6.386e-01_2.769e-01_4.875e-02_1.100e+01.h5, 0.463184
6.851e-01_7.170e-01_5.140e-01_1.545e-01_4.855e-02_1.060e+02.h5, 0.476734
1.808e+00_8.878e-01_3.001e-01_5.710e-01_1.673e-02_8.700e+01.h5, 0.337956
2.102e+00_1.078e+00_2.326e-01_7.994e-01_4.552e-02_3.000e+01.h5, 0.405530
1.574e+00_1.066e+00_5.672e-01_4.786e-01_2.014e-02_1.240e+02.h5, 0.448966
1.018e+00_1.299e+00_2.994e-01_9.295e-01_6.998e-02_1.300e+02.h5, 0.652164
1.320e+00_1.053e+00_4.166e-01_5.957e-01_4.070e-02_3.400e+01.h5, 0.476779
1.233e+00_1.400e+00_3.706e-01_1.005e+00_2.381e-02_2.200e+01.h5, 0.658609
1.259e+00_1.251e+00_9.835e-01_2.608e-01_6.341e-03_2.500e+01.h5, 0.603487
1.387e+00_1.599e+00_1.063e+00_4.587e-01_7.798e-02_4.500e+01.h5, 0.656305
2.361e+00_1.209e+00_5.028e-01_7.042e-01_2.100e-03_3.500e+01.h5, 0.413939
2.211e+00_1.813e+00_1.288e+00_4.130e-01_1.121e-01_8.500e+01.h5, 0.633185
2.473e+00_1.233e+00_7.625e-01_4.286e-01_4.222e-02_2.850e+02.h5, 0.444181
2.327e+00_1.520e+00_1.337e+00_1.683e-01_1.482e-02_9.200e+01.h5, 0.629566
1.377e+00_8.467e-01_5.958e-01_2.101e-01_4.078e-02_1.400e+01.h5, 0.409455
3.213e+00_1.548e+00_1.588e-01_1.313e+00_7.636e-02_6.500e+01.h5, 0.416451
1.306e+00_7.377e-01_3.248e-01_3.895e-01_2.344e-02_2.300e+01.h5, 0.354976
1.081e+00_1.008e+00_1.995e-01_7.987e-01_9.554e-03_1.860e+02.h5, 0.483287
9.070e-01_1.065e+00_7.271e-01_2.649e-01_7.280e-02_2.400e+01.h5, 0.577944
1.120e+00_1.454e+00_5.404e-01_9.120e-01_1.866e-03_2.600e+01.h5, 0.674658
1.655e+00_9.784e-01_5.182e-01_4.204e-01_3.981e-02_6.400e+01.h5, 0.399272
7.523e-01_1.110e+00_1.846e-01_8.622e-01_6.330e-02_1.810e+02.h5, 0.647213
1.554e+00_9.041e-01_5.766e-01_2.994e-01_2.801e-02_8.600e+01.h5, 0.403976
1.266e+00_1.443e+00_8.020e-01_5.990e-01_4.160e-02_8.400e+01.h5, 0.617119
1.601e+00_1.409e+00_4.460e-01_9.093e-01_5.345e-02_2.800e+01.h5, 0.578507
2.025e+00_1.435e+00_1.186e+00_1.949e-01_5.454e-02_3.000e+02.h5, 0.616309
1.956e+00_1.338e+00_5.539e-01_7.477e-01_3.641e-02_2.850e+02.h5, 0.508472
1.261e+00_9.266e-01_6.268e-01_2.743e-01_2.555e-02_1.000e+02.h5, 0.461533
3.178e+00_1.592e+00_7.598e-01_7.385e-01_9.353e-02_4.200e+01.h5, 0.478185
8.801e-01_1.322e+00_7.920e-01_5.289e-01_1.520e-03_9.800e+01.h5, 0.650968
2.733e+00_1.399e+00_2.798e-01_1.079e+00_4.037e-02_1.600e+01.h5, 0.413033
8.091e-01_8.476e-01_7.310e-01_8.528e-02_3.125e-02_3.010e+02.h5, 0.568434
2.011e+00_1.344e+00_1.963e-01_1.095e+00_5.283e-02_1.800e+01.h5, 0.499764
1.863e+00_9.680e-01_3.435e-01_5.694e-01_5.515e-02_8.700e+01.h5, 0.369983
2.739e+00_1.331e+00_4.564e-01_8.201e-01_5.463e-02_1.100e+01.h5, 0.412078
1.792e+00_1.208e+00_6.746e-01_4.489e-01_8.413e-02_1.400e+01.h5, 0.493138
1.772e+00_1.057e+00_3.029e-01_7.412e-01_1.303e-02_9.900e+01.h5, 0.407243
5.353e-01_8.237e-01_1.769e-01_6.076e-01_3.924e-02_1.900e+01.h5, 0.643769
1.862e+00_9.025e-01_5.855e-01_2.610e-01_5.605e-02_1.780e+02.h5, 0.393909
8.619e-01_1.185e+00_1.059e+00_5.103e-02_7.515e-02_1.900e+01.h5, 0.711314
8.644e-01_1.208e+00_2.739e-01_8.968e-01_3.768e-02_4.400e+01.h5, 0.702662
1.498e+00_9.226e-01_2.980e-01_6.210e-01_3.676e-03_1.300e+01.h5, 0.384117
1.893e+00_1.448e+00_8.646e-01_5.651e-01_1.825e-02_8.100e+01.h5, 0.541070
1.113e+00_7.535e-01_3.004e-01_4.364e-01_1.668e-02_1.580e+02.h5, 0.398550
1.415e+00_7.154e-01_2.181e-01_4.798e-01_1.746e-02_1.500e+01.h5, 0.290614
2.469e+00_1.246e+00_1.005e+00_1.902e-01_5.151e-02_1.600e+01.h5, 0.531601
1.301e+00_1.524e+00_6.371e-01_7.835e-01_1.034e-01_2.500e+02.h5, 0.651686
5.026e-01_7.169e-01_3.981e-01_2.726e-01_4.623e-02_2.540e+02.h5, 0.545263
1.775e+00_1.067e+00_9.110e-01_9.051e-02_6.534e-02_2.280e+02.h5, 0.512252
1.436e+00_7.455e-01_3.066e-01_4.302e-01_8.719e-03_2.000e+01.h5, 0.311829
8.745e-01_7.475e-01_1.485e-01_5.537e-01_4.529e-02_1.040e+02.h5, 0.413099
1.794e+00_1.584e+00_1.010e+00_4.779e-01_9.581e-02_2.400e+01.h5, 0.612030
9.330e-01_9.820e-01_2.017e-01_7.342e-01_4.617e-02_4.500e+01.h5, 0.543974
2.195e+00_1.375e+00_7.529e-01_5.639e-01_5.844e-02_1.400e+01.h5, 0.514779
