#name,t_bump,t_bump_err,prob_bump,prob_shoulder,n_points
12vr,34.50,4.46,0.04,0.95,14
10czc,27.50,2.80,0.07,0.93,20
13ceq,30.90,1.43,0.10,0.86,13
10wnm,nan,0.35,0.00,0.06,1
16hlm,13.90,1.96,0.27,0.36,1
10ufj,24.70,0.57,0.98,0.02,10
10goq,20.80,2.56,0.39,0.61,24
10qwm,23.00,4.40,0.02,0.98,11
13ddg,22.00,1.38,0.94,0.06,55
13akl,19.50,2.83,0.18,0.82,32
12gmu,18.40,0.70,0.23,0.76,14
10trp,22.00,0.94,0.06,0.92,5
10sm,nan,0.33,0.06,0.00,2
11dwn,32.10,7.15,0.19,0.76,14
12gqh,20.00,8.41,0.22,0.78,9
10abou,25.80,2.60,0.53,0.46,6
10gsp,26.60,4.11,0.55,0.45,14
14bjp,27.60,1.16,0.02,0.97,14
13aig,23.50,2.24,0.00,1.00,48
12gaw,19.00,1.99,0.76,0.24,19
16fhz,15.00,8.97,0.07,0.93,5
